A,b,c,d,central_charge
"[1, 0, 1, 0, 2, 2, 1/2, 1, 2, ]","[0, 0, 0, ]",-7/88,"[2, 2, 1, ]",15/11
"[1, 0, 1, 0, 2, 2, 1/2, 1, 2, ]","[1, 0, 0, ]",1/88,"[2, 2, 1, ]",15/11
"[1, 0, 1, 0, 2, 2, 1/2, 1, 2, ]","[1, 0, 1, ]",9/88,"[2, 2, 1, ]",15/11
"[1, 0, 1, 0, 2, 2, 1/2, 1, 2, ]","[1, 2, 2, ]",49/88,"[2, 2, 1, ]",15/11
"[1, 1, 1, 1, 2, 2, 1/2, 1, 2, ]","[0, 0, -1/2, ]",-3/56,"[2, 2, 1, ]",9/7
"[1, 1, 1, 1, 2, 2, 1/2, 1, 2, ]","[1, 0, -1/2, ]",1/56,"[2, 2, 1, ]",9/7
"[1, 1, 1, 1, 2, 2, 1/2, 1, 2, ]","[1, 2, 1/2, ]",9/56,"[2, 2, 1, ]",9/7
"[1, 1, 0, 1, 4, 4, 0, 2, 3, ]","[1, 0, -1/2, ]",1/48,"[2, 2, 1, ]",5/4
"[1, 1, 0, 1, 4, 4, 0, 2, 3, ]","[1, 4, 3/2, ]",25/48,"[2, 2, 1, ]",5/4
"[2, 1, 0, 1, 2, 2, 0, 1, 2, ]","[0, 1, 0, ]",-1/36,"[2, 2, 1, ]",4/3
"[2, 1, 0, 1, 2, 2, 0, 1, 2, ]","[2, 1, 0, ]",11/36,"[2, 2, 1, ]",4/3
"[2, 1, 0, 1, 2, 2, 0, 1, 2, ]","[2, 3, 1, ]",23/36,"[2, 2, 1, ]",4/3
"[2, 1, 2, 1, 2, 0, 1, 0, 2, ]","[1, 0, 0, ]",-1/36,"[2, 2, 1, ]",4/3
"[2, 1, 2, 1, 2, 0, 1, 0, 2, ]","[1, 2, 0, ]",11/36,"[2, 2, 1, ]",4/3
"[2, 1, 2, 1, 2, 0, 1, 0, 2, ]","[3, 2, 1, ]",23/36,"[2, 2, 1, ]",4/3
"[2, 2, 2, 2, 4, 4, 1, 2, 3, ]","[-1, -2, -3/2, ]",1/24,"[2, 2, 1, ]",1
"[2, 2, 2, 2, 4, 4, 1, 2, 3, ]","[-1, 0, 1/2, ]",1/24,"[2, 2, 1, ]",1
"[2, 2, 2, 2, 4, 4, 1, 2, 3, ]","[0, -1, -1, ]",-1/48,"[2, 2, 1, ]",1
"[2, 2, 2, 2, 4, 4, 1, 2, 3, ]","[0, 0, -1/2, ]",-1/24,"[2, 2, 1, ]",1
"[2, 2, 2, 2, 4, 4, 1, 2, 3, ]","[0, 0, 0, ]",-5/96,"[2, 2, 1, ]",1
"[2, 2, 2, 2, 4, 4, 1, 2, 3, ]","[0, 2, 3/2, ]",7/24,"[2, 2, 1, ]",1
"[2, 2, 2, 2, 4, 4, 1, 2, 3, ]","[1, 0, -1/2, ]",1/24,"[2, 2, 1, ]",1
"[2, 2, 2, 2, 4, 4, 1, 2, 3, ]","[1, 0, 1/2, ]",1/24,"[2, 2, 1, ]",1
"[2, 2, 2, 2, 4, 4, 1, 2, 3, ]","[2, 2, 1/2, ]",7/24,"[2, 2, 1, ]",1
"[2, 2, 2, 2, 4, 4, 1, 2, 3, ]","[3, 4, 5/2, ]",25/24,"[2, 2, 1, ]",1
"[1, 1, 1, 1, 2, 2, 1/2, 1, 3/2, ]","[0, 0, 0, ]",-5/72,"[2, 2, 1, ]",4/3
"[1, 1, 1, 1, 2, 2, 1/2, 1, 3/2, ]","[1, 0, 1/2, ]",1/72,"[2, 2, 1, ]",4/3
"[1, 1, 1, 1, 2, 2, 1/2, 1, 3/2, ]","[1, 2, 3/2, ]",25/72,"[2, 2, 1, ]",4/3
"[1, 0, 1, 0, 2, 2, 1/2, 1, 5/2, ]","[0, 0, -1/2, ]",-5/72,"[2, 2, 1, ]",4/3
"[1, 0, 1, 0, 2, 2, 1/2, 1, 5/2, ]","[1, 0, -1, ]",1/8,"[2, 2, 1, ]",4/3
"[1, 0, 1, 0, 2, 2, 1/2, 1, 5/2, ]","[1, 0, 0, ]",1/72,"[2, 2, 1, ]",4/3
"[1, 0, 1, 0, 2, 2, 1/2, 1, 5/2, ]","[1, 2, 1, ]",25/72,"[2, 2, 1, ]",4/3
